Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Bins,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
97580,2010-03-23 00:00:00,Cozy private room in Astoria,Queens,Apartment,N,95,Private room,11106,1,1,6,70,97
124797,2010-05-14 00:00:00,Great Room in Beautiful Huge Apt,Manhattan,Apartment,N,95,Private room,10040,1,1,4,70,95
124797,2010-05-14 00:00:00,Peaceful Room in Beautiful Huge Apt,Manhattan,Apartment,O,100,Private room,10040,1,1,2,70,100
137814,2010-06-03 00:00:00,Bedroom with Garden at the Back,Brooklyn,Apartment,L,85,Private room,11238,1,1,150,70,89
137814,2010-06-03 00:00:00,Parlor Room In Victorian Townhouse,Brooklyn,Apartment,L,85,Private room,11238,1,1,106,70,89
164781,2010-07-12 00:00:00,Lofted Bedroom Williamsburg Center,Brooklyn,Apartment,N,95,Private room,11249,1,1,4,70,95
177712,2010-07-22 00:00:00,"Private, Clean and Comfortable NY",Queens,Apartment,M,90,Private room,11106,1,1,20,70,93
185978,2010-07-30 00:00:00,New York room with a view,Staten Island,Apartment,N,95,Private room,10301,1,1,104,70,96
228252,2010-09-08 00:00:00,Private room in wonderful Harlem,Manhattan,Apartment,O,100,Private room,10031,1,1,2,70,100
254438,2010-10-06 00:00:00,Fully Furnished Bedroom,Manhattan,Apartment,K,80,Private room,10032,1,1,1,70,80
254860,2010-10-06 00:00:00,An Artists' Home in Chinatown,Manhattan,Apartment,O,100,Private room,10002,1,1,1,70,100
255748,2010-10-07 00:00:00,Ocean Hill Comfy and Cute!,Brooklyn,Apartment,L,85,Entire home/apt,11233,1,1,44,70,89
264928,2010-10-18 00:00:00,Cozy 2 br in sunny Fort Greene apt,Brooklyn,Apartment,M,90,Private room,11217,1,1,13,70,93
283604,2010-11-10 00:00:00,"Lovely, Large Room in Crown Heights",Brooklyn,Apartment,O,100,Private room,11216,1,1,2,70,100
311286,2010-12-06 00:00:00,ROOM#1 FOR RENT close to Manhattan,Brooklyn,Apartment,K,80,Private room,11213,1,1,2,70,80
